Food item,GTIN/UPC of TJs,Price at TJs ($),Quantity ,Unit,Brand/Type at TJs,GTIN/UPC of Safeway,Price at Safeway ($),Quantity,Unit,Brand/Type at Safeway,GTIN/UPC of Berkeley Bowl,Price at Berkeley Bowl ($),Quantity,Unit,Brand/Type at Berkeley Bowl,GTIN/UPC of Whole Foods,Price at Whole Foods ($),Quantity,Unit,Brand/Type at Whole Foods
Bread,00740661,4.49,24.00,oz,Sprouted Wheat Sourdough Bread,021130183432,4.99,24,oz,Signature SELECT Bread Long Sliced Loaf San Francisco Style Sourdough - 24 Oz,073130002602,7.69,20,oz,"Oroweat Organic Thin-Sliced Rustic White Bread, Non-GMO Organic Bread",071214161580,5.99,12,oz, Soft & Delicious White Sandwich Bread
Rice,017400118006,3.29,3.00,lb,TJs Jasmine Rice,21130502097,6.79,5,lb,Mahatma Jasmine Thai Fragrant Long Grain Rice In Bag,688267090882,2.09,1,lb,White Basmati Rice,017400118006,3.69,1,lb,Organic White Long Grain Rice
Pasta,00323673,1.99,1.00,lb,Organic Fusilli Corti Bucati Pasta,021130507368,1.50,16,oz,Signature SELECT Pasta Penne Rigate Box,076808006575,2.59,16,oz,Barilla Spaghetti Pasta,748023090072,1.59,16,oz,"Pasta, Spaghetti"
Apples,887434088381,1.29,0.33,lb,Honeycrisp Apples,887434088381,2.00,0.33,lb,Honeycrisp apples,887434088381,1.59,1,lb,Honeycrip Apples,887434088381,2.49,1,lb,Honeycrisp Apples
Tomatoes,021130338023,2.99,1.00,lb,TJs Campari Tomatoes,021130338023,3.49,1,lb,Red roma tomato,021130338023,1.59,1,lb,Roma Tomatoes,021130338023,2.99,1,lb,Roma Tomato
Lettuce,07789015057,3.49,10.00,oz,Romaine Hearts,077745207933,2.99,10.00,oz,Romaine lettuce,077745207933,2.59,1,ea,Romaine Lettuce,07789015057,1.99,10,oz,Romaine Lettuce
Eggs,090208301023,4.99,20.50,oz,Pasture Raised Large Brown Eggs,021130032259,4.99,20.5,oz,Happy Egg Co. Eggs Free Range Large,096619102556,4.79,20.5,oz,Berkeley Bowl Large Cage Free Eggs,03003491319,3.99,20.5,oz,Large White Eggs
Milk,717544202264,4.99,64.00,Floz,Organic Reduced Fat Milk ,021130070695,2.79,32,oz,Clover Sonoma 2% Reduced Fat Milk,896958001011,6.09,59,oz,A2 Whole Milk,758940583670,2.99,32,Floz,Organic Lowfat 1% Milk
Frozen Shrimp,041735048554,11.99,1.00,lb,Wild Raw Argentinian Red Shrimp,021130123230,13.98,2,lb,waterfront BISTRO Shrimp Raw Large Ez Peel Shell & Tail On Frozen 26-30 Count - 2 Lb,813493021281,21.99,32,oz,"Santa Monica Seafood Raw 21/25 Frozen Shrimp, Peeled Deveined",646232235133,11.99,1,lb,Peeled Deveined White Shrimp
Chicken,085239028377,2.99,1.00,lb,Organic Chicken Drumsticks,085239028377,11.45,5,lb,Signature Farms Chicken Drumsticks Value Pack,024105593052,3.29,1,lb,Natural Chicken Drumstick,024105517058,4.99,1,lb,Organic Chicken Drumsticks
Peanut Butter,072488981454,2.49,16.00,oz,Creamy Salted Peanut Butter,9300652800654,5.99,28,oz,Signature SELECT Peanut Butter Creamy,051500241370,3.99,16,oz,Jif Creamy Peanut Butter,072488981454,4.49,16,oz,Peanut Butter
Spinach,021130146697,1.99,6.00,oz,Organic Baby Spinach,021130146697,3.50,5,oz,O Organics Organic Baby Spinach,085680400418,2.59,10,oz,Muzzi Baby Spinach,085680400418,4.49,5,oz,Baby Spinach
Cucumber,895580002816,2.49,1.00,lb,Persian Cucumbers,095829420030,1.00,14,oz,Cucumber,095829420030,1.64,14,oz,Organic Cucumber,895580002816,1.29,14,oz,Slicing Cucumbers
Carrots,078783908066,1.69,24.00,oz,Cut and Peeled Carrots,078783908066,2.99,16,oz,Signature Select/Farms Baby-Cut Peeled Carrots,078783513031,1.75,1,lb,"""Grimmway Farms"" Baby Carrots",030034302894,1.49,1,lb,Organic Loose Carrots
Yogurt ,00414340,0.99,5.30,oz,Nonfat Plain Greek Yogurt,021130125746,4.99,24,oz,Greek Gods Yogurt Greek Style Traditional Plain,0689544083009,9.39,32,oz,Fage Bestself Greek Yogurt,7203672758,7.99,32,oz,"Whole Milk Yogurt, Plain"
Oatmeal ,04656702200,2.29,16.00,oz,Steel Cut Oatmeal,021130315703,4.49,24,oz,O Organics Organic Oats Steel Cut,00030000010204,6.59,18,oz,"Quaker Oats, Old Fashioned Oatmeal",741643020603,3.99,18,oz,"Organic Hot Cereal, Old-fashioned Rolled Oats"
Granola,20743482,3.79,16.00,oz,Maple Pecan Granola Cereal,021130311798,5.49,11,oz,Nature Valley Protein Granola Oats N Honey,041497132751,7.69,1,lb,Super Granola,897742002023,9.99,10,oz,The Granola Guru - Unsweetened GRANOLA
Ground Turkey,725439978873,4.49,1.00,lb,Ground Turkey,021130173020,4.99,16,oz,Jennie-O 93% Lean Ground Turkey Fresh,021130173020,7.69,16,oz,Mary's Ground Turkey,041415313804,10.49,16,oz,Ground Turkey Breast
Butter,078354620113,3.99,16.00,oz,"Butter Quarters, Salted",032601033125,5.99,16,oz,Lucerne Butter Salted Sweet Cream 4 Quarters,032601033125,4.39,7,oz,President Salted Butter,081312500006,5.99,8,oz,Lactose Free Butter
Bell Peppers,874896005735,3.49,12.00,oz,Organic Red Bell Peppers,874896005735,2.00,0.33,lb,Red bell peppers,095829600241,2.63,1,lb,X-Fancy Green Bell Peppers,095829600241,2.49,1,lb,Green Bell Pepper
Nuts,00079969,2.99,13.00,oz,"TRADER JOE'S, DRY ROASTED & SALTED ALMONDS",021130128877,3.50,16,oz,Planters peanuts dry roasted,00079969,8.69,1,lb,Raw Almonds,181174000390,4.99,16,oz,"Peanuts, Dry Roasted & Unsalted"
Vegetable Oil,00475594	,2.99,5.00,oz,Organic Canola Oil Spray,021130266388,5.39,24,Floz,Signature SELECT oil vegetable pure,00027000612262,5.49,24,oz,Wesson Vegetable Oil,751884912162,4.69,32,Floz,Vegetable Oil - 365 by Whole Foods
