Food item,Store,GTIN/UPC,Price,Quantity,Unit,Brand/Type,Energy,Protein,"Fiber, total dietary","Folate, DFE","Calcium, Ca","Carbohydrate, by difference","Iron, Fe","Magnesium, Mg",Niacin,"Phosphorus, P","Potassium, K",Riboflavin,Thiamin,"Vitamin A, RAE",Vitamin B-12,Vitamin B-6,"Vitamin C, total ascorbic acid",Vitamin E (alpha-tocopherol),Vitamin K (phylloquinone),"Zinc, Zn","Sodium, Na",Energy
Bread,TJs,00740661,4.49,24.00,oz,Sprouted Wheat Sourdough Bread,214.0,17.9,10.7,0.0,143.0,25.0,6.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,464.0,214.0
Rice,TJs,017400118006,3.29,3.00,lb,TJs Jasmine Rice,370.0,8.7,0.0,0.0,0.0,82.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.0
Pasta,TJs,00323673,1.99,1.00,lb,Organic Fusilli Corti Bucati Pasta,375.0,12.5,8.9,0.0,36.0,73.2,3.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.0
Apples,TJs,887434088381,1.29,0.33,lb,Honeycrisp Apples,54.0,0.41,2.1,0.0,8.0,14.0,0.15,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,54.0
Tomatoes,TJs,021130338023,2.99,1.00,lb,TJs Campari Tomatoes,21.0,0.83,0.8,0.0,0.0,4.13,0.0,0.0,0.0,0.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,21.0
Lettuce,TJs,07789015057,3.49,10.00,oz,Romaine Hearts,18.0,1.18,2.4,0.0,33.0,3.53,0.94,0.0,0.0,0.0,247.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,102.0,0.0,6.0,18.0
Eggs,TJs,090208301023,4.99,20.50,oz,Pasture Raised Large Brown Eggs,140.0,12.0,0.0,0.0,40.0,0.0,1.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,140.0
Milk,TJs,717544202264,4.99,64.00,Floz,Organic Reduced Fat Milk ,54.0,4.17,0.0,0.0,146.0,5.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,54.0
Frozen Shrimp,TJs,041735048554,11.99,1.00,lb,Wild Raw Argentinian Red Shrimp,71.0,14.1,0.0,0.0,27.0,0.0,0.24,0.0,0.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,671.0,71.0
Chicken,TJs,085239028377,2.99,1.00,lb,Organic Chicken Drumsticks,138.0,19.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,138.0
Peanut Butter,TJs,072488981454,2.49,16.00,oz,Creamy Salted Peanut Butter,588.0,23.5,8.8,0.0,59.0,20.6,2.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,824.0,588.0
Spinach,TJs,854311007094,1.99,6.00,oz,Organic Baby Spinach,24.0,2.35,2.4,0.0,94.0,3.53,3.18,71.0,0.0,0.0,553.0,0.0,0.0,0.0,0.0,0.0,28.2,0.0,480.0,0.0,76.0,24.0
Cucumber,TJs,895580002816,2.49,1.00,lb,Persian Cucumbers,15.0,0.0,0.5,0.0,19.0,3.85,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,2.0,15.0
Carrots,TJs,078783908066,1.69,24.00,oz,Cut and Peeled Carrots,36.0,1.79,1.8,0.0,0.0,8.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6,0.0,0.0,0.0,80.0,36.0
Yogurt ,TJs,00414340,0.99,5.30,oz,Nonfat Plain Greek Yogurt,94.0,4.71,0.6,0.0,176.0,15.9,0.0,0.0,0.0,0.0,224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,94.0
Oatmeal ,TJs,04656702200,2.29,16.00,oz,Steel Cut Oatmeal,97.0,3.54,1.8,0.0,35.0,16.8,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,97.0
